id,target,train_preds,train_probs
11869,0,0,0.15
11879,0,0,0.1
24548,1,1,0.85
43785,1,1,0.8
54948,1,1,0.93
70829,1,1,0.79
72288,0,0,0.1
126012,1,1,0.86
153903,1,1,0.82
198171,1,1,0.78
207329,1,1,0.8
209953,0,0,0.18
260857,1,1,0.89
264450,1,1,0.78
266427,0,0,0.13
302800,1,1,0.79
350780,0,0,0.22
421119,0,0,0.12
454433,0,0,0.18
494132,0,0,0.15
519543,0,0,0.2
558146,1,1,0.83
604260,0,0,0.11
604281,1,1,0.78
607858,1,1,0.8
690397,1,1,0.8
719285,1,1,0.8
720801,0,0,0.09
739515,1,1,0.74
745004,0,0,0.05
781854,1,1,0.73
813667,0,0,0.17
846127,0,0,0.23
927471,0,0,0.23
1024086,0,0,0.11
1041390,1,1,0.87
1072272,1,1,0.79
1080652,1,1,0.78
1148478,1,1,0.85
1148519,1,1,0.9
1148574,1,1,0.95
1160421,0,0,0.1
1187783,1,1,0.85
1226199,0,0,0.13
1292600,0,0,0.16
1326553,0,0,0.18
1349898,0,0,0.23
1374324,0,0,0.14
1411830,0,0,0.08
1422795,1,1,0.76
1426294,1,1,0.73
1434279,0,0,0.24
1434388,0,0,0.15
1445161,1,1,0.83
1459083,1,1,0.77
1535050,0,0,0.11
1574540,1,1,0.86
1615910,0,0,0.13
1615942,0,0,0.16
1623405,1,1,0.8
1629040,0,0,0.18
1649986,1,1,0.8
1663396,0,0,0.3
1671115,0,0,0.22
1720522,0,0,0.12
1873477,0,0,0.1
1910101,0,0,0.19
1947803,0,0,0.06
1985054,1,1,0.74
1998795,0,0,0.12
2022861,1,1,0.84
2051278,0,0,0.22
2056872,0,0,0.2
2131819,1,1,0.84
2144665,0,0,0.16
2150339,1,1,0.82
2159387,0,0,0.16
2314064,1,1,0.76
2326597,0,0,0.25
2483297,1,1,0.82
2566638,0,0,0.11
2764760,1,1,0.81
2764789,0,0,0.21
2777595,1,1,0.87
2777663,1,1,0.82
2817824,1,1,0.75
2867614,1,1,0.87
2970271,0,0,0.14
2979438,0,0,0.15
3084796,1,1,0.86
3193555,1,1,0.8
3209807,0,0,0.12
3351870,0,0,0.21
3394782,0,0,0.19
3402754,1,1,0.88
3504131,1,1,0.75
3511408,1,1,0.8
3513489,0,0,0.12
3685496,1,1,0.76
3768501,0,0,0.17
3768985,0,0,0.11
3804188,0,0,0.13
3936342,0,0,0.11
3936343,1,1,0.85
4052057,1,1,0.85
4151679,1,1,0.81
